SpeciesLong,Min_Size,Max_Size,Biomass,LWR_a,LWR_b,Growth,Z,Energy_density,Min_Prey,Max_Prey,Daily_Ration,Handling_Time
Copepods & Small Zoop.,0.1,2,4000,5.00E-03,3,45.0,1.5,4200,0,0,0.1,1
Krill & Euphausiids,2,10,4500,5.00E-03,3,15.0,1.2,4500,0,0,0.1,1
Gelatinous Zooplankton,1,20,120,2.00E-03,2.8,15.0,0.8,600,0,0,0.1,1
Anchovy-Sardine Guild,3,200,15,5.00E-03,3.1,30.0,0.4,6500,0.001,0.07,0.06,1
Small pelagic fish,10,300,10,6.00E-03,3,30.0,0.4,6800,0.001,0.05,0.06,1
Pelagic Invertebrates,1,100,20,8.00E-03,2.9,20.0,0.5,4100,0.05,0.14,0.05,1
Benthic Crustaceans,10,150,8,9.00E-03,2.9,25.0,0.8,4200,0,0,0.08,1
Demersal Forage Fishes,30,350,6,1.10E-02,3,20.0,0.5,5500,0.02,0.15,0.05,1
Spanish Mackerel,100,800,0.15,7.00E-03,3,20.5,0.1,6200,0.08,0.2,0.06,1
Other Mackerel,80,600,0.15,6.50E-03,3,20.5,0.1,6100,0.08,0.2,0.06,1
Cephalopods,10,500,2.5,1.20E-02,2.8,20.5,0.15,4300,0.05,0.15,0.05,1
Small tunas,150,1000,0.1,9.00E-03,3,20.2,0.08,6900,0.1,0.25,0.05,1
Pelagic fishes,200,1500,0.5,1.00E-02,3,20.0,0.05,7200,0.12,0.3,0.04,1
Medium-sized fishes,50,500,3.0,8.50E-03,3.1,20.5,0.1,5800,0.03,0.18,0.05,1
Other Large Sharks,1500,5500,0.002,8.00E-03,3.0,2.5,0.1,5500,0.15,0.6,0.01,10
Large coastal pelagics,500,2000,0.005,9.00E-03,3.0,5.0,0.1,6500,0.45,0.8,0.01,10
Cetaceans,2000,9000,0.002,1.50E-02,3.0,2.5,0.05,8000,0.10,0.4,0.01,10
